series_game_number,game_id,period,team,points,turnovers,fouls,timeouts,substitutions
1,0042500401,1,NYK,19,4,5,2,7
1,0042500401,1,SAS,27,2,4,1,8
1,0042500401,2,NYK,29,4,8,1,10
1,0042500401,2,SAS,28,3,7,1,11
1,0042500401,3,NYK,28,1,5,0,3
1,0042500401,3,SAS,21,3,9,2,7
1,0042500401,4,NYK,29,0,6,3,11
1,0042500401,4,SAS,19,5,5,2,7
2,0042500402,1,NYK,25,3,6,1,4
2,0042500402,1,SAS,34,2,7,1,8
2,0042500402,2,NYK,31,4,8,1,8
2,0042500402,2,SAS,18,6,8,1,12
2,0042500402,3,NYK,28,5,6,1,4
2,0042500402,3,SAS,23,4,4,1,6
2,0042500402,4,NYK,21,3,6,4,14
2,0042500402,4,SAS,29,4,4,4,7
3,0042500403,1,NYK,22,4,6,1,4
3,0042500403,1,SAS,33,2,5,1,7
3,0042500403,2,NYK,42,3,4,1,9
3,0042500403,2,SAS,24,3,6,1,7
3,0042500403,3,NYK,27,4,7,1,6
3,0042500403,3,SAS,35,1,5,1,6
3,0042500403,4,NYK,20,2,8,4,10
3,0042500403,4,SAS,23,2,6,4,6
4,0042500404,1,NYK,22,4,9,1,11
4,0042500404,1,SAS,41,0,7,1,10
4,0042500404,2,NYK,27,4,4,1,9
4,0042500404,2,SAS,35,2,9,1,11
4,0042500404,3,NYK,26,4,3,1,6
4,0042500404,3,SAS,14,5,5,1,8
4,0042500404,4,NYK,32,3,8,3,14
4,0042500404,4,SAS,16,5,2,4,7
