series_game_number,game_id,period,game_clock,seconds_remaining,event_number,team,event_type,action_type,event_description,home_team,away_team,home_score,away_score,team_score,opponent_score,team_margin
1,0042500401,1,PT07M28.00S,448,52,SAS,Timeout,Regular,SPURS Timeout: Regular (Full 1 Short 0),SAS,NYK,7,12,7,12,-5
1,0042500401,1,PT07M28.00S,448,53,SAS,Substitution,,SUB: Harper FOR Fox,SAS,NYK,7,12,7,12,-5
1,0042500401,1,PT07M28.00S,448,54,SAS,Substitution,,SUB: Johnson FOR Champagnie,SAS,NYK,7,12,7,12,-5
1,0042500401,1,PT06M15.00S,375,72,NYK,Substitution,,SUB: Shamet FOR Anunoby,SAS,NYK,7,14,14,7,7
1,0042500401,1,PT05M27.00S,327,84,SAS,Substitution,,SUB: Kornet FOR Wembanyama,SAS,NYK,10,14,10,14,-4
1,0042500401,1,PT05M27.00S,327,85,NYK,Substitution,,SUB: Anunoby FOR Hart,SAS,NYK,10,14,14,10,4
1,0042500401,1,PT04M33.00S,273,101,SAS,Substitution,,SUB: Fox FOR Johnson,SAS,NYK,11,14,11,14,-3
1,0042500401,1,PT04M33.00S,273,102,SAS,Substitution,,SUB: Champagnie FOR Castle,SAS,NYK,11,14,11,14,-3
1,0042500401,1,PT04M13.00S,253,110,NYK,Substitution,,SUB: McBride FOR Bridges,SAS,NYK,12,14,14,12,2
1,0042500401,1,PT04M13.00S,253,111,NYK,Substitution,,SUB: Robinson FOR Towns,SAS,NYK,12,14,14,12,2
1,0042500401,1,PT02M33.00S,153,135,NYK,Timeout,Regular,Knicks Timeout: Regular (Reg.1 Short 0),SAS,NYK,22,17,17,22,-5
1,0042500401,1,PT02M33.00S,153,136,SAS,Substitution,,SUB: Wembanyama FOR Kornet,SAS,NYK,22,17,22,17,5
1,0042500401,1,PT02M33.00S,153,137,SAS,Substitution,,SUB: Barnes FOR Vassell,SAS,NYK,22,17,22,17,5
1,0042500401,1,PT01M27.00S,87,155,NYK,Timeout,Regular,Knicks Timeout: Regular (Reg.2 Short 0),SAS,NYK,27,17,17,27,-10
1,0042500401,1,PT01M27.00S,87,157,NYK,Substitution,,SUB: Alvarado FOR Anunoby,SAS,NYK,27,17,17,27,-10
1,0042500401,1,PT01M27.00S,87,158,NYK,Substitution,,SUB: Bridges FOR Brunson,SAS,NYK,27,17,17,27,-10
1,0042500401,1,PT01M27.00S,87,159,NYK,Substitution,,SUB: Towns FOR Robinson,SAS,NYK,27,17,17,27,-10
1,0042500401,1,PT00M40.50S,40,170,SAS,Substitution,,SUB: Castle FOR Barnes,SAS,NYK,27,19,27,19,8
1,0042500401,2,PT09M58.00S,598,209,SAS,Substitution,,SUB: Harper FOR Fox,SAS,NYK,30,26,30,26,4
1,0042500401,2,PT09M58.00S,598,210,SAS,Substitution,,SUB: Vassell FOR Champagnie,SAS,NYK,30,26,30,26,4
1,0042500401,2,PT08M03.00S,483,231,SAS,Timeout,Regular,SPURS Timeout: Regular (Full 2 Short 0),SAS,NYK,31,28,31,28,3
1,0042500401,2,PT08M03.00S,483,234,SAS,Substitution,,SUB: Kornet FOR Wembanyama,SAS,NYK,31,28,31,28,3
