series_game_number,game_id,team,opponent,start_period,start_clock,end_period,end_clock,start_event,end_event,run_points,opponent_points,scoring_plays,team_score_before,opponent_score_before,team_score_after,opponent_score_after,margin_before,margin_after,margin_swing,run_label
1,0042500401,SAS,NYK,1,PT06M07.00S,1,PT03M25.00S,74,123,12,0,8,7,14,19,14,-7,5,12,12-0
1,0042500401,SAS,NYK,1,PT03M01.00S,1,PT01M28.00S,127,153,8,0,3,19,17,27,17,2,10,8,8-0
1,0042500401,NYK,SAS,1,PT01M15.00S,2,PT10M32.00S,165,200,7,0,3,17,27,24,27,-10,-3,7,7-0
1,0042500401,NYK,SAS,2,PT05M35.00S,2,PT04M20.00S,285,292,6,0,3,32,37,38,37,-5,1,6,6-0
1,0042500401,SAS,NYK,2,PT00M37.40S,3,PT09M31.00S,352,389,9,0,5,50,48,59,48,2,11,9,9-0
1,0042500401,NYK,SAS,3,PT05M40.00S,3,PT04M58.00S,448,461,7,0,4,54,67,61,67,-13,-6,7,7-0
1,0042500401,NYK,SAS,4,PT07M22.00S,4,PT06M07.00S,599,624,8,0,5,86,86,94,86,0,8,8,8-0
1,0042500401,SAS,NYK,4,PT04M50.00S,4,PT02M16.00S,637,677,9,0,6,86,94,95,94,-8,1,9,9-0
1,0042500401,NYK,SAS,4,PT01M50.00S,4,PT00M20.60S,680,712,11,0,8,94,95,105,95,-1,10,11,11-0
2,0042500402,NYK,SAS,2,PT11M15.00S,2,PT09M45.00S,188,211,7,0,4,25,37,32,37,-12,-5,7,7-0
2,0042500402,NYK,SAS,2,PT03M03.00S,3,PT11M37.00S,341,388,9,0,4,49,52,58,52,-3,6,9,9-0
2,0042500402,NYK,SAS,3,PT10M28.00S,3,PT09M21.00S,396,414,6,0,2,58,54,64,54,4,10,6,6-0
2,0042500402,SAS,NYK,3,PT06M17.00S,3,PT05M10.00S,451,464,6,0,3,61,72,67,72,-11,-5,6,6-0
2,0042500402,SAS,NYK,4,PT10M44.00S,4,PT09M11.00S,543,569,7,0,3,75,87,82,87,-12,-5,7,7-0
2,0042500402,NYK,SAS,4,PT07M26.00S,4,PT06M04.00S,596,613,7,0,3,90,83,97,83,7,14,7,7-0
2,0042500402,SAS,NYK,4,PT05M59.00S,4,PT02M59.00S,616,646,14,0,7,83,97,97,97,-14,0,14,14-0
3,0042500403,SAS,NYK,1,PT10M42.00S,1,PT09M48.00S,14,22,7,0,3,0,0,7,0,0,7,7,7-0
3,0042500403,NYK,SAS,2,PT09M12.00S,2,PT08M13.00S,201,211,8,0,3,30,40,38,40,-10,-2,8,8-0
3,0042500403,NYK,SAS,2,PT04M46.00S,2,PT04M18.00S,268,275,6,0,2,44,49,50,49,-5,1,6,6-0
3,0042500403,NYK,SAS,2,PT01M15.00S,2,PT00M09.60S,311,330,8,0,4,56,57,64,57,-1,7,8,8-0
3,0042500403,SAS,NYK,3,PT11M33.00S,3,PT10M54.00S,345,356,6,0,3,57,64,63,64,-7,-1,6,6-0
3,0042500403,SAS,NYK,3,PT06M07.00S,3,PT05M02.00S,424,432,7,0,3,72,76,79,76,-4,3,7,7-0
3,0042500403,SAS,NYK,4,PT11M30.00S,4,PT08M44.00S,520,562,6,0,4,92,91,98,91,1,7,6,6-0
4,0042500404,SAS,NYK,1,PT11M09.00S,1,PT09M17.00S,13,39,10,0,4,2,2,12,2,0,10,10,10-0
4,0042500404,SAS,NYK,1,PT07M37.00S,1,PT06M21.00S,66,74,8,0,3,14,10,22,10,4,12,8,8-0
4,0042500404,SAS,NYK,1,PT01M50.00S,1,PT00M27.70S,152,179,7,0,5,34,20,41,20,14,21,7,7-0
4,0042500404,SAS,NYK,2,PT11M21.00S,2,PT10M45.00S,199,208,7,0,3,41,25,48,25,16,23,7,7-0
4,0042500404,SAS,NYK,2,PT09M42.00S,2,PT09M16.00S,224,228,6,0,2,48,30,54,30,18,24,6,6-0
4,0042500404,NYK,SAS,3,PT09M27.00S,3,PT05M31.00S,418,470,13,0,6,52,81,65,81,-29,-16,13,13-0
4,0042500404,NYK,SAS,4,PT09M16.00S,4,PT07M28.00S,598,622,8,0,3,75,95,83,95,-20,-12,8,8-0
4,0042500404,NYK,SAS,4,PT06M09.00S,4,PT04M34.00S,645,658,7,0,4,88,99,95,99,-11,-4,7,7-0
4,0042500404,NYK,SAS,4,PT03M07.00S,4,PT01M22.00S,669,687,8,0,3,97,104,105,104,-7,1,8,8-0
