sample_name,team,player,games,total_minutes,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,turnovers_per_game,fg_pct,three_pct,true_shooting_pct,usage_pct,assist_pct,turnover_pct,average_plus_minus
Full Regular Season,NYK,Mikal Bridges,82,2691.9,32.8,14.4,3.8,3.7,1.0,49.0,37.1,58.7,17.0,15.6,5.9,3.6
Full Regular Season,NYK,Jalen Brunson,74,2589.8,35.0,26.0,3.3,6.8,2.4,46.7,36.9,58.0,29.7,30.4,7.6,4.8
Full Regular Season,NYK,Karl-Anthony Towns,75,2321.8,31.0,20.1,11.9,3.0,2.5,50.1,36.8,61.9,25.0,14.3,11.8,5.0
Full Regular Season,NYK,OG Anunoby,67,2223.9,33.2,16.7,5.2,2.2,1.8,48.4,38.6,62.0,19.3,9.2,11.0,6.1
Full Regular Season,NYK,Josh Hart,66,1993.6,30.2,12.0,7.4,4.8,1.9,50.8,41.3,61.2,16.3,21.1,12.0,3.2
Full Regular Season,NYK,Jordan Clarkson,72,1279.5,17.8,8.6,1.8,1.3,0.9,45.1,32.7,54.8,20.3,11.2,8.8,1.5
Full Regular Season,NYK,Mitchell Robinson,60,1174.5,19.6,5.7,8.8,0.9,0.7,72.3,,67.6,10.1,5.6,11.9,2.6
Full Regular Season,NYK,Landry Shamet,51,1171.1,23.0,9.3,1.8,1.4,0.6,43.7,39.2,59.8,15.1,8.4,5.8,3.7
Full Regular Season,NYK,Miles McBride,41,1080.0,26.3,12.0,2.4,2.6,0.8,42.3,41.3,57.8,17.3,13.8,5.9,5.5
Full Regular Season,NYK,Tyler Kolek,62,727.2,11.7,4.4,1.6,2.7,0.9,43.5,38.6,53.3,17.3,31.3,11.6,1.7
Full Regular Season,NYK,Mohamed Diawara,69,634.2,9.2,3.6,1.4,0.8,0.4,42.3,36.9,55.0,16.8,10.6,9.3,0.8
Full Regular Season,NYK,Ariel Hukporti,54,498.0,9.2,2.2,2.9,0.5,0.6,56.3,25.0,61.9,10.3,8.6,18.7,0.6
Full Regular Season,NYK,Jose Alvarado,28,473.8,16.9,6.6,2.0,3.8,1.1,41.4,33.0,52.0,19.1,30.6,10.1,3.9
Full Regular Season,NYK,Guerschon Yabusele,41,365.7,8.9,2.7,2.1,0.4,0.4,39.3,29.4,49.9,14.4,6.9,9.1,0.2
Full Regular Season,NYK,Kevin McCullar Jr.,21,155.0,7.4,2.4,1.3,1.0,0.6,42.6,33.3,50.8,16.6,19.2,16.3,-2.3
Full Regular Season,NYK,Pacôme Dadiet,29,135.8,4.7,1.7,0.9,0.4,0.1,33.3,21.9,45.4,16.6,11.7,3.0,-0.2
Full Regular Season,NYK,Jeremy Sochan,16,110.8,6.9,2.8,2.1,0.8,0.2,56.7,20.0,64.0,14.0,15.1,5.8,2.1
Full Regular Season,NYK,Trey Jemison III,13,81.6,6.3,1.0,1.4,0.4,0.8,60.0,,62.3,9.9,8.3,31.4,-2.2
Full Regular Season,NYK,Dillon Jones,7,39.4,5.6,1.3,1.0,0.6,0.0,22.2,20.0,41.8,10.6,11.3,0.0,1.1
Full Regular Season,SAS,Julian Champagnie,82,2266.0,27.6,11.1,5.8,1.5,0.8,43.7,38.1,60.9,14.7,7.0,7.5,7.2
Full Regular Season,SAS,De'Aaron Fox,72,2231.1,31.0,18.6,3.8,6.2,2.3,48.6,33.2,57.8,24.3,28.5,9.1,6.3
Full Regular Season,SAS,Devin Vassell,67,2044.2,30.5,13.9,4.0,2.5,0.9,43.7,38.4,57.4,17.6,10.8,5.6,7.3
Full Regular Season,SAS,Stephon Castle,68,2037.7,30.0,16.7,5.3,7.4,3.2,47.1,33.2,57.5,24.3,33.9,12.8,6.0
