sample_name,team,lineup,games_played,minutes,possessions,ortg,drtg,net_rating,efg_pct,tov_pct,oreb_pct,plus_minus
Full Regular Season,NYK,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,43,540.6,1131.0,115.0,112.8,2.3,58.3,14.1,24.5,20.0
Full Regular Season,NYK,K. Towns - J. Hart - M. Bridges - J. Brunson - M. McBride,16,122.6,246.0,132.9,116.6,16.3,62.4,10.6,32.4,46.0
Full Regular Season,NYK,K. Towns - O. Anunoby - M. Bridges - J. Brunson - L. Shamet,20,119.2,262.0,108.4,109.0,-0.6,49.1,14.5,34.3,6.0
Full Regular Season,NYK,K. Towns - O. Anunoby - M. Bridges - J. Brunson - M. McBride,13,91.4,197.0,126.9,128.3,-1.4,62.5,14.2,33.3,10.0
Full Regular Season,NYK,K. Towns - J. Hart - M. Bridges - J. Brunson - L. Shamet,15,84.2,182.0,111.0,111.0,0.0,54.7,12.6,25.9,10.0
Full Regular Season,NYK,O. Anunoby - J. Hart - M. Bridges - J. Brunson - M. Robinson,17,70.3,139.0,133.8,109.8,24.0,67.5,12.9,35.8,29.0
Full Regular Season,NYK,J. Clarkson - K. Towns - O. Anunoby - M. Bridges - T. Kolek,14,63.0,129.0,110.9,108.1,2.7,58.1,20.2,24.5,-3.0
Full Regular Season,NYK,K. Towns - O. Anunoby - M. Bridges - J. Brunson - M. Robinson,9,52.4,105.0,118.1,109.2,8.9,50.5,8.6,35.9,5.0
Full Regular Season,NYK,O. Anunoby - M. Bridges - J. Brunson - M. Robinson - L. Shamet,10,47.5,101.0,111.9,94.1,17.8,49.4,6.9,32.1,17.0
Full Regular Season,NYK,K. Towns - O. Anunoby - J. Hart - J. Brunson - L. Shamet,18,45.3,103.0,113.6,128.0,-14.4,54.9,10.7,28.8,-11.0
Full Regular Season,NYK,J. Hart - M. Bridges - J. Brunson - M. Robinson - M. McBride,11,41.4,90.0,122.2,94.6,27.7,58.0,12.2,48.0,23.0
Full Regular Season,NYK,J. Clarkson - K. Towns - O. Anunoby - M. Bridges - M. McBride,11,38.2,79.0,116.5,116.5,0.0,54.1,10.1,23.8,0.0
Full Regular Season,NYK,J. Clarkson - K. Towns - J. Hart - M. Bridges - J. Brunson,15,37.8,74.0,118.9,127.2,-8.2,55.9,13.5,30.0,-15.0
Full Regular Season,NYK,J. Clarkson - K. Towns - O. Anunoby - M. Bridges - J. Brunson,10,37.2,73.0,124.7,112.3,12.3,57.5,16.4,45.5,9.0
Full Regular Season,NYK,J. Clarkson - J. Hart - M. Bridges - J. Brunson - M. Robinson,13,36.4,76.0,138.2,113.0,25.2,59.9,6.6,43.9,18.0
Full Regular Season,NYK,J. Clarkson - K. Towns - J. Hart - M. Bridges - M. McBride,13,35.9,79.0,107.6,122.9,-15.3,54.3,13.9,31.6,-17.0
Full Regular Season,NYK,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Alvarado,4,34.8,70.0,150.0,117.8,32.2,68.6,8.6,32.3,19.0
Full Regular Season,NYK,O. Anunoby - M. Bridges - J. Brunson - M. Robinson - M. McBride,10,33.8,65.0,136.9,95.8,41.1,66.7,15.4,44.8,21.0
Full Regular Season,NYK,K. Towns - O. Anunoby - M. Bridges - J. Brunson - M. Diawara,5,33.4,75.0,117.3,109.5,7.9,58.2,6.7,16.2,7.0
Full Regular Season,NYK,J. Hart - J. Brunson - M. Robinson - L. Shamet - M. Diawara,10,33.2,72.0,116.7,104.2,12.4,54.5,6.9,22.2,10.0
Full Regular Season,NYK,K. Towns - O. Anunoby - M. Bridges - J. Alvarado - M. Diawara,8,32.5,67.0,122.4,100.0,22.4,57.1,7.5,28.1,14.0
Full Regular Season,NYK,J. Clarkson - K. Towns - J. Hart - M. McBride - T. Kolek,7,30.1,62.0,112.9,101.7,11.2,50.0,11.3,30.6,9.0
Full Regular Season,NYK,O. Anunoby - J. Hart - J. Brunson - M. Robinson - L. Shamet,12,28.1,64.0,115.6,96.8,18.9,66.3,14.1,29.2,14.0
Full Regular Season,NYK,J. Hart - M. Bridges - J. Brunson - M. Robinson - L. Shamet,9,25.6,52.0,96.2,134.7,-38.5,48.9,11.5,33.3,-16.0
Full Regular Season,NYK,K. Towns - O. Anunoby - J. Hart - M. Bridges - T. Kolek,8,25.3,55.0,121.8,100.0,21.8,68.2,12.7,22.2,14.0
Full Regular Season,NYK,K. Towns - O. Anunoby - M. Bridges - L. Shamet - J. Alvarado,9,25.0,49.0,132.7,87.8,44.9,60.6,8.2,45.8,22.0
Full Regular Season,NYK,J. Clarkson - M. Bridges - J. Brunson - M. Robinson - M. Diawara,5,24.4,46.0,87.0,102.1,-15.1,37.0,19.6,45.7,-9.0
Full Regular Season,NYK,K. Towns - J. Hart - M. Bridges - L. Shamet - J. Alvarado,9,24.3,52.0,130.8,109.6,21.2,78.9,19.2,40.0,11.0
Full Regular Season,NYK,J. Clarkson - K. Towns - O. Anunoby - L. Shamet - M. McBride,7,24.0,52.0,115.4,84.9,30.5,53.3,11.5,26.9,15.0
Full Regular Season,NYK,O. Anunoby - J. Brunson - M. Robinson - L. Shamet - M. McBride,8,23.7,49.0,136.7,86.0,50.7,56.3,6.1,37.0,24.0
Full Regular Season,NYK,K. Towns - O. Anunoby - J. Hart - M. Bridges - M. McBride,4,23.0,48.0,143.8,122.0,21.8,67.0,4.2,25.0,8.0
Full Regular Season,NYK,G. Yabusele - A. Hukporti - T. Kolek - P. Dadiet - M. Diawara,8,21.4,49.0,118.4,100.0,18.4,57.1,14.3,45.8,9.0
Full Regular Season,NYK,K. Towns - J. Hart - M. Bridges - L. Shamet - M. McBride,6,20.9,48.0,110.4,97.9,12.5,54.5,10.4,26.9,7.0
Full Regular Season,NYK,J. Clarkson - K. Towns - O. Anunoby - M. Bridges - J. Alvarado,3,20.6,39.0,125.6,107.9,17.7,56.8,12.8,36.8,8.0
Full Regular Season,NYK,J. Clarkson - O. Anunoby - M. Bridges - J. Brunson - M. Robinson,9,20.3,42.0,114.3,102.3,12.0,62.1,14.3,29.4,4.0
Full Regular Season,SAS,D. Fox - D. Vassell - J. Champagnie - V. Wembanyama - S. Castle,29,284.3,619.0,125.4,107.7,17.6,61.2,11.8,27.1,108.0
Full Regular Season,SAS,H. Barnes - D. Fox - J. Champagnie - V. Wembanyama - S. Castle,19,136.4,287.0,133.8,113.1,20.6,65.8,9.4,18.3,57.0
Full Regular Season,SAS,H. Barnes - D. Vassell - J. Champagnie - V. Wembanyama - S. Castle,17,132.8,286.0,114.7,102.9,11.8,60.0,17.8,29.7,41.0
Full Regular Season,SAS,H. Barnes - D. Fox - L. Kornet - D. Vassell - J. Champagnie,13,115.4,252.0,117.5,110.9,6.6,58.5,9.9,17.9,21.0
Full Regular Season,SAS,H. Barnes - D. Fox - L. Kornet - D. Vassell - S. Castle,15,95.5,215.0,120.9,112.7,8.3,59.0,9.3,25.7,20.0
Full Regular Season,SAS,H. Barnes - D. Fox - D. Vassell - V. Wembanyama - S. Castle,16,90.8,202.0,117.3,95.4,21.9,57.1,10.4,20.7,49.0
Full Regular Season,SAS,H. Barnes - D. Fox - L. Kornet - J. Champagnie - S. Castle,17,69.3,145.0,115.2,103.4,11.7,50.4,9.7,31.7,16.0
Full Regular Season,SAS,L. Kornet - K. Johnson - D. Vassell - S. Castle - D. Harper,25,64.6,135.0,123.0,113.0,9.9,59.7,11.1,34.4,1.0
Full Regular Season,SAS,H. Barnes - D. Fox - L. Kornet - K. Johnson - D. Harper,20,53.9,118.0,105.9,107.8,-1.8,47.4,9.3,35.7,0.0
Full Regular Season,SAS,K. Johnson - D. Vassell - V. Wembanyama - S. Castle - D. Harper,20,47.6,106.0,126.4,90.5,35.9,58.1,12.3,41.2,39.0
Full Regular Season,SAS,H. Barnes - D. Fox - D. Vassell - J. Champagnie - V. Wembanyama,10,45.3,93.0,114.0,91.6,22.4,57.2,12.9,23.3,19.0
Full Regular Season,SAS,D. Fox - L. Kornet - K. Johnson - D. Harper - C. Bryant,13,40.3,81.0,116.0,121.8,-5.8,48.2,8.6,38.3,-12.0
Full Regular Season,SAS,D. Fox - L. Kornet - K. Johnson - J. Champagnie - D. Harper,19,40.0,91.0,115.4,121.7,-6.4,54.7,9.9,33.3,-7.0
Full Regular Season,SAS,H. Barnes - L. Kornet - K. Johnson - S. Castle - D. Harper,19,39.3,93.0,76.3,71.6,4.8,41.2,16.1,16.7,3.0
Full Regular Season,SAS,B. Biyombo - K. Olynyk - J. McLaughlin - L. Waters III - C. Bryant,8,38.5,82.0,107.3,130.9,-23.5,69.3,24.4,11.5,-18.0
Full Regular Season,SAS,D. Fox - K. Johnson - J. Champagnie - V. Wembanyama - S. Castle,16,37.6,86.0,97.7,85.2,12.4,55.1,10.5,22.0,9.0
Full Regular Season,SAS,L. Kornet - K. Johnson - J. Champagnie - S. Castle - D. Harper,18,35.8,79.0,88.6,110.8,-22.2,51.7,22.8,31.4,-22.0
Full Regular Season,SAS,H. Barnes - J. Champagnie - V. Wembanyama - S. Castle - C. Bryant,15,35.0,78.0,98.7,124.3,-25.6,55.4,11.5,29.4,-15.0
Full Regular Season,SAS,D. Fox - L. Kornet - D. Vassell - J. Champagnie - S. Castle,7,32.7,76.0,111.8,104.1,7.7,57.5,14.5,27.3,9.0
Full Regular Season,SAS,H. Barnes - D. Fox - K. Johnson - V. Wembanyama - D. Harper,14,32.1,78.0,116.7,94.6,22.1,62.3,16.7,40.7,21.0
Full Regular Season,SAS,H. Barnes - D. Fox - L. Kornet - K. Johnson - J. Champagnie,12,32.0,71.0,118.3,83.8,34.5,50.8,2.8,31.4,27.0
Full Regular Season,SAS,D. Fox - K. Johnson - J. Champagnie - V. Wembanyama - D. Harper,15,32.0,74.0,117.6,89.3,28.2,61.6,14.9,21.4,20.0
Full Regular Season,SAS,H. Barnes - D. Fox - J. Champagnie - V. Wembanyama - C. Bryant,11,31.6,65.0,93.8,102.9,-9.1,42.7,13.8,33.3,-10.0
Full Regular Season,SAS,H. Barnes - L. Kornet - K. Johnson - D. Vassell - D. Harper,16,29.6,68.0,123.5,112.9,10.6,61.3,11.8,46.7,14.0
Full Regular Season,SAS,L. Kornet - K. Johnson - D. Vassell - J. Champagnie - S. Castle,13,29.5,66.0,110.6,107.6,3.0,52.8,10.6,35.5,2.0
Full Regular Season,SAS,H. Barnes - D. Vassell - V. Wembanyama - S. Castle - D. Harper,11,28.7,60.0,126.7,100.0,26.7,62.0,8.3,28.0,20.0
Full Regular Season,SAS,L. Kornet - D. Vassell - J. Champagnie - S. Castle - D. Harper,12,28.5,64.0,135.9,123.3,12.6,64.7,14.1,37.0,13.0
Full Regular Season,SAS,H. Barnes - D. Fox - J. Champagnie - V. Wembanyama - D. Harper,10,28.1,63.0,107.9,93.8,14.2,52.8,12.7,26.7,8.0
Full Regular Season,SAS,H. Barnes - D. Fox - L. Kornet - K. Johnson - D. Vassell,10,27.9,60.0,121.7,117.9,3.8,57.3,8.3,26.1,7.0
Full Regular Season,SAS,D. Fox - K. Johnson - D. Vassell - V. Wembanyama - S. Castle,11,26.9,57.0,108.8,113.6,-4.8,60.0,14.0,24.0,-5.0
Full Regular Season,SAS,D. Vassell - J. Champagnie - V. Wembanyama - S. Castle - D. Harper,13,26.7,56.0,173.2,75.0,98.2,86.8,7.1,50.0,52.0
Full Regular Season,SAS,L. Kornet - K. Johnson - D. Vassell - J. Champagnie - D. Harper,11,26.1,60.0,110.0,108.5,1.5,52.1,11.7,28.6,2.0
Full Regular Season,SAS,H. Barnes - D. Fox - K. Johnson - V. Wembanyama - S. Castle,13,25.7,57.0,105.3,132.1,-26.8,51.1,17.5,35.5,-10.0
Full Regular Season,SAS,H. Barnes - D. Fox - K. Johnson - J. Champagnie - V. Wembanyama,10,24.7,55.0,141.8,87.5,54.3,60.9,9.1,36.0,29.0
Full Regular Season,SAS,H. Barnes - K. Johnson - J. Champagnie - V. Wembanyama - S. Castle,10,24.3,50.0,106.0,110.0,-4.0,44.6,18.0,42.9,-2.0
Full Regular Season,SAS,H. Barnes - K. Johnson - D. Vassell - V. Wembanyama - S. Castle,10,24.0,48.0,122.9,129.4,-6.5,60.5,10.4,31.8,-7.0
Full Regular Season,SAS,D. Fox - L. Kornet - K. Johnson - D. Vassell - J. Champagnie,14,23.8,53.0,117.0,114.0,3.0,56.5,5.7,36.0,5.0
Full Regular Season,SAS,H. Barnes - L. Kornet - D. Vassell - J. Champagnie - S. Castle,9,23.4,50.0,130.0,85.2,44.8,59.2,12.0,20.8,19.0
Full Regular Season,SAS,K. Johnson - D. Vassell - J. Champagnie - V. Wembanyama - D. Harper,8,23.3,53.0,126.4,57.4,69.0,57.6,7.5,30.8,36.0
Full Regular Season,SAS,D. Fox - L. Kornet - K. Johnson - D. Vassell - D. Harper,10,23.1,46.0,106.5,97.9,8.6,53.8,8.7,20.8,2.0
Full Regular Season,SAS,K. Johnson - D. Vassell - J. Champagnie - V. Wembanyama - S. Castle,12,22.8,55.0,105.5,75.5,30.0,50.0,10.9,29.6,18.0
Full Regular Season,SAS,D. Fox - L. Kornet - K. Johnson - J. Champagnie - S. Castle,16,22.5,55.0,87.3,107.5,-20.3,55.4,18.2,36.0,-9.0
Full Regular Season,SAS,H. Barnes - L. Kornet - K. Johnson - J. Champagnie - D. Harper,9,22.4,47.0,136.2,102.1,34.0,59.8,6.4,38.1,16.0
Full Regular Season,SAS,D. Fox - D. Vassell - J. Champagnie - V. Wembanyama - D. Harper,8,22.1,51.0,127.5,121.3,6.2,64.0,7.8,31.6,8.0
Full Regular Season,SAS,H. Barnes - L. Kornet - D. Vassell - J. Champagnie - D. Harper,12,21.9,47.0,112.8,95.6,17.2,51.2,17.0,41.7,10.0
Full Regular Season,SAS,D. Fox - K. Johnson - D. Vassell - V. Wembanyama - D. Harper,9,20.9,48.0,131.3,95.7,35.6,73.1,14.6,31.3,19.0
Full Regular Season,SAS,H. Barnes - L. Kornet - K. Johnson - D. Vassell - S. Castle,7,20.4,43.0,86.0,93.8,-7.7,45.9,25.6,40.9,-8.0
Full Regular Season,SAS,K. Johnson - J. Champagnie - V. Wembanyama - S. Castle - D. Harper,13,20.2,46.0,126.1,59.2,66.9,73.0,15.2,20.0,29.0
