game_date,matchup_sample,series_game_number,team,player,starter,minutes,points,rebounds,assists,turnovers,fga,fg3a,fta,true_shooting_pct,usage_pct,plus_minus
2025-12-16,NBA Cup Final,,NYK,Jalen Brunson,1,41.1,25,4,8,4,27,5,4,43.5,30.2,15.0
2025-12-16,NBA Cup Final,,NYK,OG Anunoby,1,40.0,28,9,3,0,17,10,5,72.9,18.4,7.0
2025-12-16,NBA Cup Final,,NYK,Mikal Bridges,1,32.6,11,5,5,1,12,5,2,42.7,17.5,-10.0
2025-12-16,NBA Cup Final,,NYK,Karl-Anthony Towns,1,29.7,16,11,1,2,12,5,2,62.1,19.5,-2.0
2025-12-16,NBA Cup Final,,NYK,Josh Hart,1,29.3,11,8,3,1,7,3,0,78.6,10.8,3.0
2025-12-16,NBA Cup Final,,NYK,Jordan Clarkson,0,26.7,15,2,0,0,15,7,0,50.0,22.1,15.0
2025-12-16,NBA Cup Final,,NYK,Tyler Kolek,0,20.5,14,5,5,1,9,5,2,70.9,19.0,14.0
2025-12-16,NBA Cup Final,,NYK,Mitchell Robinson,0,18.4,4,15,2,1,6,0,0,33.3,13.2,9.0
2025-12-16,NBA Cup Final,,NYK,Ariel Hukporti,0,1.9,0,0,0,0,0,0,0,0.0,0.0,4.0
2025-12-16,NBA Cup Final,,NYK,Guerschon Yabusele,0,,0,0,0,0,0,0,0,0.0,0.0,0.0
2025-12-16,NBA Cup Final,,NYK,Kevin McCullar Jr.,0,,0,0,0,0,0,0,0,0.0,0.0,0.0
2025-12-16,NBA Cup Final,,NYK,Tosan Evbuomwan,0,,0,0,0,0,0,0,0,0.0,0.0,0.0
2025-12-16,NBA Cup Final,,NYK,Trey Jemison III,0,,0,0,0,0,0,0,0,0.0,0.0,0.0
2025-12-16,NBA Cup Final,,NYK,Pacôme Dadiet,0,,0,0,0,0,0,0,0,0.0,0.0,0.0
2025-12-16,NBA Cup Final,,NYK,Mohamed Diawara,0,,0,0,0,0,0,0,0,0.0,0.0,0.0
2025-12-16,NBA Cup Final,,SAS,Stephon Castle,1,34.9,15,7,12,2,15,3,5,43.6,21.3,-5.0
2025-12-16,NBA Cup Final,,SAS,Devin Vassell,1,33.3,12,5,3,0,14,7,2,40.3,17.6,-9.0
2025-12-16,NBA Cup Final,,SAS,De'Aaron Fox,1,31.7,16,2,9,5,13,6,6,51.2,26.3,-4.0
2025-12-16,NBA Cup Final,,SAS,Dylan Harper,0,28.4,21,7,0,0,14,7,2,70.6,20.5,-15.0
2025-12-16,NBA Cup Final,,SAS,Julian Champagnie,0,25.0,3,2,1,0,5,4,0,30.0,7.9,-11.0
2025-12-16,NBA Cup Final,,SAS,Victor Wembanyama,0,24.9,18,6,1,1,17,6,4,48.0,31.7,-18.0
2025-12-16,NBA Cup Final,,SAS,Harrison Barnes,1,23.5,11,3,2,0,9,4,3,53.3,17.5,4.0
